split_name,family,target,score_method,coverage_target,actual_coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2,model_family
holdout_Re25,withheld_reynolds,Nuavg,oracle_error_rank,0.7,0.7005208333333334,807,3.1361783110698034,3.439517332842301,33.525136026250706,33.92696420213757,49.046845530034815,49.86636599014501,3.1361783110698034,-2.288906362329003,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,random_rejection,0.95,0.9505208333333334,1095,4.327977029108063,4.886493625600918,39.9289494485533,37.65640597950466,58.45994036977403,61.10399745283894,4.327977029108063,-2.568360525610458,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,random_rejection,0.9,0.9001736111111112,1037,4.327575742307937,4.884659842471053,39.945301403255094,37.65620851213276,58.459343973232116,61.10399745283894,4.327575742307937,-2.5521998419783003,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,random_rejection,0.8,0.8003472222222222,922,4.329018376728126,4.887705050190417,39.947733570373614,37.6605872995835,58.449930145744894,61.10399745283894,4.329018376728126,-2.575744412988246,ExtraTrees
holdout_Re25,withheld_reynolds,Nuavg,random_rejection,0.7,0.7005208333333334,807,4.33051871056175,4.885079308729497,39.99658310971236,37.69402801231742,58.39509601667637,61.10399745283894,4.33051871056175,-2.584329006774995,ExtraTrees
holdout_Re25,withheld_reynolds,DelP_Pa,U_only,0.95,0.9505208333333334,1095,101.47029192163922,178.78643636237902,330.1718467705474,330.70178597495146,357.20095886321656,371.8641846468438,101.47029192163922,-12.897916457790641,ExtraTrees
holdout_Re25,withheld_reynolds,DelP_Pa,U_only,0.9,0.9001736111111112,1037,105.2876931465847,183.44988734927244,330.0259040091424,330.72231043295295,357.19870484035283,367.8410133285154,105.2876931465847,-13.044536402481546,ExtraTrees
holdout_Re25,withheld_reynolds,DelP_Pa,U_only,0.8,0.8003472222222222,922,110.6110970407665,190.43341658297342,330.09555529844073,331.76907043656513,357.3733716985498,367.8410133285154,110.6110970407665,-13.207257256694454,ExtraTrees
holdout_Re25,withheld_reynolds,DelP_Pa,U_only,0.7,0.7005208333333334,807,112.07744399605976,192.1276857717105,329.91844921877413,331.76907043656513,357.3733716985498,367.8410133285154,112.07744399605976,-13.270288006155502,ExtraTrees
holdout_Re25,withheld_reynolds,DelP_Pa,D_only,0.95,0.9505208333333334,1095,95.8388271976295,171.35379109532388,331.5186281186158,331.2009561821445,357.97870682370956,379.4963616649146,95.8388271976295,-12.69753136518612,ExtraTrees
